N,button_coverage,dead_repeat_rate,family,file,game,length,level,longest_streak,mean_first_try,nochange_rate,novel_alt_frac,novel_frac,outcome,retry,run,solved,valid_coverage
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.2,0.45,died,4,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.1,0.25,died,4,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,,,,,,died,,arc3-job1-control,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.3,0.4,died,6,arc3-job1-control,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.15,0.3,died,6,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.1,0.175,died,6,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,,,,,,died,,arc3-job1-control,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.4,0.8,died,8,arc3-job1-control,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.2,0.4,died,8,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.1,0.2,died,8,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,,,,,,died,,arc3-job1-control,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.3,0.6,died,10,arc3-job1-control,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.2,0.35,died,10,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.1,0.175,died,10,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,,,,,,died,,arc3-job1-control,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.4,0.5,died,12,arc3-job1-control,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.2,0.3,died,12,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,1,,0.0,0.1,0.15,died,12,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p1_events.jsonl,tn36,61,1,,,,,,died,,arc3-job1-control,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,1,,0.0,0.8,0.9,died,0,arc3-job1-control,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,1,,0.0,0.45,0.5,died,0,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,1,,0.0,0.225,0.25,died,0,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,,,,,,died,,arc3-job1-control,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,3,,0.0,0.4,0.6,died,2,arc3-job1-control,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,3,,0.0,0.2,0.5,died,2,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,3,,0.0,0.1,0.25,died,2,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,,,,,,died,,arc3-job1-control,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,2,,0.0,0.2,0.5,died,4,arc3-job1-control,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,2,,0.0,0.2,0.35,died,4,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,2,,0.0,0.1,0.175,died,4,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,,,,,,died,,arc3-job1-control,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,1,,0.0,0.2,0.5,died,6,arc3-job1-control,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,1,,0.0,0.15,0.3,died,6,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,1,,0.0,0.1,0.2,died,6,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,,,,,,died,,arc3-job1-control,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,1,,0.0,0.3,0.7,died,8,arc3-job1-control,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,1,,0.0,0.15,0.35,died,8,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,1,,0.0,0.1,0.2,died,8,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,,,,,,died,,arc3-job1-control,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,2,,0.0,0.3,0.5,died,10,arc3-job1-control,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,2,,0.0,0.15,0.25,died,10,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,2,,0.0,0.1,0.15,died,10,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,,,,,,died,,arc3-job1-control,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,1,,0.0,0.4,0.6,died,12,arc3-job1-control,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,1,,0.0,0.2,0.3,died,12,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,1,,0.0,0.1,0.175,died,12,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p2_events.jsonl,tn36,61,1,,,,,,died,,arc3-job1-control,False,
10,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p3_events.jsonl,tn36,50,1,1,,0.0,0.7,0.9,truncated,0,arc3-job1-control,False,
20,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p3_events.jsonl,tn36,50,1,2,,0.0,0.6,0.7,truncated,0,arc3-job1-control,False,
40,,0.0,Flash-Next (Kaggle),tn36-ef4dde99_p3_events.jsonl,tn36,50,1,2,,0.0,0.375,0.55,truncated,0,arc3-job1-control,False,
0,,,Flash-Next (Kaggle),tn36-ef4dde99_p3_events.jsonl,tn36,50,1,,,,,,truncated,,arc3-job1-control,False,
