ts_utc,gpu_util_pct,gpu_mem_used_mib,gpu_mem_total_mib,gpu_power_w,cpu_util_pct,mem_used_mib,mem_total_mib
2026-07-19T03:13:49Z,0,0,97887,47.20,0.0,4324,181114
2026-07-19T03:14:09Z,0,0,97887,47.19,0.0,4361,181114
2026-07-19T03:14:30Z,0,0,97887,47.18,0.1,4316,181114
2026-07-19T03:14:50Z,0,0,97887,47.18,0.0,4311,181114
2026-07-19T03:15:10Z,0,0,97887,47.19,0.0,4315,181114
2026-07-19T03:15:30Z,0,0,97887,47.18,0.2,4348,181114
2026-07-19T03:15:50Z,0,0,97887,47.20,0.0,4338,181114
2026-07-19T03:16:10Z,0,0,97887,47.19,0.0,4328,181114
2026-07-19T03:16:30Z,0,0,97887,47.18,0.1,4299,181114
2026-07-19T03:16:50Z,0,0,97887,47.18,0.0,4300,181114
2026-07-19T03:17:10Z,0,0,97887,47.20,0.0,4298,181114
2026-07-19T03:17:30Z,0,0,97887,47.19,0.2,4344,181114
2026-07-19T03:17:50Z,0,0,97887,47.19,0.0,4327,181114
2026-07-19T03:18:10Z,0,0,97887,47.20,0.0,4326,181114
2026-07-19T03:18:30Z,0,0,97887,47.18,0.1,4321,181114
2026-07-19T03:18:50Z,0,0,97887,47.19,0.0,4316,181114
2026-07-19T03:19:10Z,0,0,97887,47.19,0.0,4328,181114
2026-07-19T03:19:30Z,0,0,97887,47.18,0.2,4349,181114
2026-07-19T03:19:50Z,0,0,97887,47.18,0.0,4353,181114
2026-07-19T03:20:10Z,0,0,97887,47.18,0.0,4339,181114
2026-07-19T03:20:30Z,0,0,97887,47.20,0.1,4349,181114
2026-07-19T03:20:50Z,0,0,97887,47.18,0.0,4336,181114
2026-07-19T03:21:10Z,0,0,97887,47.19,0.0,4339,181114
2026-07-19T03:21:30Z,0,0,97887,47.19,0.2,4351,181114
2026-07-19T03:21:50Z,0,0,97887,47.19,0.0,4339,181114
2026-07-19T03:22:10Z,0,0,97887,47.18,0.0,4329,181114
2026-07-19T03:22:30Z,0,0,97887,47.19,0.1,4350,181114
2026-07-19T03:22:50Z,0,0,97887,47.18,0.0,4342,181114
2026-07-19T03:23:10Z,0,0,97887,47.19,0.0,4340,181114
2026-07-19T03:23:30Z,0,0,97887,47.18,0.2,4362,181114
2026-07-19T03:23:50Z,0,0,97887,47.18,0.0,4323,181114
2026-07-19T03:24:10Z,0,0,97887,47.17,0.0,4328,181114
2026-07-19T03:24:30Z,0,0,97887,47.17,0.1,4328,181114
2026-07-19T03:24:50Z,0,0,97887,47.17,0.0,4325,181114
2026-07-19T03:25:10Z,0,0,97887,47.17,0.0,4329,181114
2026-07-19T03:25:30Z,0,0,97887,47.18,0.2,4401,181114
2026-07-19T03:25:50Z,0,0,97887,47.18,0.0,4359,181114
2026-07-19T03:26:11Z,0,0,97887,47.19,0.0,4338,181114
2026-07-19T03:26:31Z,0,0,97887,47.20,0.1,4345,181114
2026-07-19T03:26:51Z,0,0,97887,47.18,0.0,4338,181114
2026-07-19T03:27:11Z,0,0,97887,47.17,0.0,4323,181114
2026-07-19T03:27:31Z,0,0,97887,47.19,0.2,4398,181114
2026-07-19T03:27:51Z,0,0,97887,47.18,0.0,4347,181114
2026-07-19T03:28:11Z,0,0,97887,47.19,0.0,4338,181114
2026-07-19T03:28:31Z,0,0,97887,47.19,0.1,4341,181114
2026-07-19T03:28:51Z,0,0,97887,47.18,0.0,4331,181114
2026-07-19T03:29:11Z,0,0,97887,47.19,0.0,4335,181114
2026-07-19T03:29:31Z,0,0,97887,47.17,0.2,4389,181114
2026-07-19T03:29:51Z,0,0,97887,47.17,0.0,4347,181114
2026-07-19T03:30:11Z,0,0,97887,47.19,0.0,4350,181114
2026-07-19T03:30:31Z,0,0,97887,47.18,0.1,4347,181114
2026-07-19T03:30:51Z,0,0,97887,47.19,0.0,4339,181114
2026-07-19T03:31:11Z,0,0,97887,47.17,0.0,4341,181114
2026-07-19T03:31:31Z,0,0,97887,47.19,0.2,4383,181114
2026-07-19T03:31:51Z,0,0,97887,47.17,0.0,4363,181114
2026-07-19T03:32:11Z,0,0,97887,47.17,0.0,4364,181114
2026-07-19T03:32:31Z,0,0,97887,47.18,0.1,4347,181114
2026-07-19T03:32:51Z,0,0,97887,47.17,0.0,4331,181114
2026-07-19T03:33:11Z,0,0,97887,47.19,0.0,4326,181114
2026-07-19T03:33:31Z,0,0,97887,47.18,0.2,4368,181114
2026-07-19T03:33:51Z,0,0,97887,47.19,0.0,4345,181114
2026-07-19T03:34:11Z,0,0,97887,47.19,0.0,4335,181114
2026-07-19T03:34:31Z,0,0,97887,47.17,0.1,4327,181114
2026-07-19T03:34:51Z,0,0,97887,47.19,0.0,4320,181114
2026-07-19T03:35:11Z,0,0,97887,47.18,0.0,4318,181114
2026-07-19T03:35:31Z,0,0,97887,47.18,0.2,4360,181114
2026-07-19T03:35:51Z,0,0,97887,47.18,0.0,4332,181114
2026-07-19T03:36:11Z,0,0,97887,47.17,0.0,4327,181114
2026-07-19T03:36:31Z,0,0,97887,47.18,0.1,4350,181114
2026-07-19T03:36:51Z,0,0,97887,47.18,0.0,4321,181114
2026-07-19T03:37:11Z,0,0,97887,47.17,0.0,4319,181114
2026-07-19T03:37:31Z,0,0,97887,47.17,0.2,4344,181114
2026-07-19T03:37:52Z,0,0,97887,47.18,0.0,4316,181114
2026-07-19T03:38:12Z,0,0,97887,47.18,0.0,4314,181114
2026-07-19T03:38:32Z,0,0,97887,47.17,0.1,4353,181114
2026-07-19T03:38:52Z,0,0,97887,47.19,0.0,4312,181114
2026-07-19T03:39:12Z,0,0,97887,47.17,0.0,4317,181114
2026-07-19T03:39:32Z,0,0,97887,47.18,0.2,4457,181114
2026-07-19T03:39:52Z,0,0,97887,47.18,0.0,4357,181114
